Company,Region,Category,Careers / Job Board URL,Remote Policy (typical),Est. Junior AI/ML Salary Range (1-3 YOE),Notes,Tier,Why Target This Company,Research Status,ATS,ATS Identifier
Qdrant,,,https://jobs.ashbyhq.com/qdrant.tech,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),ashby,qdrant.tech
Qualtrics,,,https://boards.greenhouse.io/qualtrics,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,qualtrics
R1 RCM,,,https://r1rcm.wd1.myworkdayjobs.com/R1RCM,,,,,,Verified live via Claude-in-Chrome recheck (round 2),workday,r1rcm.wd1.myworkdayjobs.com/R1RCM
Rad AI,,,https://jobs.ashbyhq.com/radai,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),ashby,radai
Railway,,,https://jobs.ashbyhq.com/railway,,,,,,Verified live via resolve_new_companies.py,ashby,railway
Ramp,,,https://jobs.ashbyhq.com/ramp,,,,,,Verified live via resolve_new_companies.py,ashby,ramp
Razorpay,,,https://boards.greenhouse.io/razorpaysoftwareprivatelimited,,,,,,Verified live via resolve_new_companies.py,greenhouse,razorpaysoftwareprivatelimited
Recursion,,,https://boards.greenhouse.io/recursionpharmaceuticals,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,recursionpharmaceuticals
Redis,,,https://jobs.ashbyhq.com/redis,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,redis
Reducto,,,https://jobs.ashbyhq.com/reducto,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,reducto
Reflection AI,,,https://jobs.ashbyhq.com/reflectionai,,,,,,Verified live via resolve_new_companies.py,ashby,reflectionai
Relay Financial,,,https://jobs.lever.co/relay,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",lever,relay
Remote,,,https://boards.greenhouse.io/remote,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,remote
Render,,,https://jobs.ashbyhq.com/render,,,,,,Verified live via resolve_new_companies.py,ashby,render
Replit,,,https://jobs.ashbyhq.com/replit,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,replit
RingCentral,,,https://ringcentral.wd1.myworkdayjobs.com/RingCentral_Careers,,,,,,Verified live via Claude-in-Chrome browser check (group 6),workday,ringcentral.wd1.myworkdayjobs.com/RingCentral_Careers
Rogo,,,https://jobs.ashbyhq.com/rogo,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,rogo
Rubrik,,,https://boards.greenhouse.io/rubrik,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,rubrik
Runway,,,https://jobs.ashbyhq.com/runway-ml,,,,,,Verified live via resolve_new_companies.py,ashby,runway-ml
S&P Global,,,https://spgi.wd5.myworkdayjobs.com/SPGI_Careers,,,,,,Verified live via Claude-in-Chrome recheck (round 2),workday,spgi.wd5.myworkdayjobs.com/SPGI_Careers
Salesforce India,,,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),workday,salesforce.wd12.myworkdayjobs.com/External_Career_Site
Samsung R&D India,,,https://sec.wd3.myworkdayjobs.com/Samsung_Careers,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),workday,sec.wd3.myworkdayjobs.com/Samsung_Careers
SandboxAQ,,,https://jobs.ashbyhq.com/sandboxaq,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),ashby,sandboxaq
Sanity,,,https://jobs.ashbyhq.com/sanity,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,sanity
Sarvam AI,,,https://jobs.ashbyhq.com/sarvam,,,,,,Verified live via resolve_new_companies.py,ashby,sarvam
Scale AI,,,https://boards.greenhouse.io/scaleai,,,,,,Verified live via resolve_new_companies.py,greenhouse,scaleai
Scaler,,,https://jobs.ashbyhq.com/scaler,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),ashby,scaler
Sentry,,,https://jobs.ashbyhq.com/sentry,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),ashby,sentry
ServiceNow India,,,https://careers.smartrecruiters.com/ServiceNow,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),smartrecruiters,ServiceNow
Shield AI,,,https://boards.greenhouse.io/shield,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,shield
Shipsy,,,https://careers.smartrecruiters.com/Shipsy,,,,,,"Verified live via Claude-in-Chrome recheck (round 2, distinctive brand name not a generic collision)",smartrecruiters,Shipsy
Siemens Healthineers India,,,https://onehealthineers.wd3.myworkdayjobs.com/SHSJB,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),workday,onehealthineers.wd3.myworkdayjobs.com/SHSJB
Sierra,,,https://jobs.ashbyhq.com/Sierra,,,,,,Verified live via resolve_new_companies.py,ashby,Sierra
SingleStore,,,https://boards.greenhouse.io/singlestore,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,singlestore
Skydio,,,https://jobs.ashbyhq.com/skydio,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,skydio
Slice,,,https://boards.greenhouse.io/slice,,,,,,Verified live via resolve_new_companies.py,greenhouse,slice
Snorkel AI,,,https://boards.greenhouse.io/snorkelai,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,snorkelai
Snowflake,,,https://jobs.ashbyhq.com/snowflake,,,,,,Verified live via resolve_new_companies.py,ashby,snowflake
Sonar,,,https://jobs.lever.co/sonarsource,,,,,,Verified live via Claude-in-Chrome browser check (group 6),lever,sonarsource
Sourcegraph,,,https://boards.greenhouse.io/sourcegraph91,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,sourcegraph91
Speechify,,,https://boards.greenhouse.io/speechify,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,speechify
SpotDraft,,,https://jobs.ashbyhq.com/spotdraft,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,spotdraft
Sprinklr,,,https://sprinklr.wd1.myworkdayjobs.com/careers,,,,,,Verified live via Claude-in-Chrome browser check (group 6),workday,sprinklr.wd1.myworkdayjobs.com/careers
Stable,,,https://jobs.ashbyhq.com/stable,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,stable
Starburst,,,https://boards.greenhouse.io/starburst,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,starburst
StreamNative,,,https://boards.greenhouse.io/streamnative,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,streamnative
Stripe,,,https://boards.greenhouse.io/stripe,,,,,,Verified live via resolve_new_companies.py,greenhouse,stripe
Suno,,,https://jobs.ashbyhq.com/suno,,,,,,Verified live via resolve_new_companies.py,ashby,suno
Supabase,,,https://jobs.ashbyhq.com/supabase,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,supabase
Synthesia,,,https://jobs.ashbyhq.com/synthesia,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,synthesia
Tailscale,,,https://boards.greenhouse.io/tailscale,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,tailscale
Target India,,,https://target.wd5.myworkdayjobs.com/targetcareers,,,,,,Verified live via Claude-in-Chrome browser check (group 6),workday,target.wd5.myworkdayjobs.com/targetcareers
Tavus,,,https://jobs.ashbyhq.com/tavus,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),ashby,tavus
Temporal,,,https://jobs.ashbyhq.com/temporal,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,temporal
Tempus AI,,,https://tempus.wd5.myworkdayjobs.com/Tempus_Careers,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),workday,tempus.wd5.myworkdayjobs.com/Tempus_Careers
Thoughtworks,,,https://boards.greenhouse.io/thoughtworks,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",greenhouse,thoughtworks
Tiger Analytics,,,https://jobs.ashbyhq.com/tiger,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,tiger
TigerGraph India,,,https://boards.greenhouse.io/tigergraph,,,,,,Verified live via resolve_new_companies.py,greenhouse,tigergraph
Together AI,,,https://boards.greenhouse.io/togetherai,,,,,,Verified live via resolve_new_companies.py,greenhouse,togetherai
Toloka AI,,,https://boards.greenhouse.io/toloka,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,toloka
Trigger.dev,,,https://jobs.ashbyhq.com/triggerdev,,,,,,Verified live via resolve_new_companies.py,ashby,triggerdev
Turing Labs,,,https://boards.greenhouse.io/turing,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",greenhouse,turing
Twilio,,,https://boards.greenhouse.io/twilio,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,twilio
Uniphore,,,https://uniphore.wd503.myworkdayjobs.com/Uniphore,,,,,,Verified live via Claude-in-Chrome browser check (group 6),workday,uniphore.wd503.myworkdayjobs.com/Uniphore
Unstructured,,,https://jobs.ashbyhq.com/unstructured,,,,,,Verified live via resolve_new_companies.py,ashby,unstructured
Urban Company,,,https://urban.bamboohr.com/careers,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",bamboohr,urban
VAST Data,,,https://boards.greenhouse.io/vast,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,vast
VMware India,,,https://broadcom.wd1.myworkdayjobs.com/External_Career,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 3/4),workday,broadcom.wd1.myworkdayjobs.com/External_Career
Vannevar Labs,,,https://boards.greenhouse.io/vannevarlabs,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,vannevarlabs
Vapi,,,https://jobs.ashbyhq.com/vapi,,,,,,Verified live via resolve_new_companies.py,ashby,vapi
Vercel,,,https://boards.greenhouse.io/vercel,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,vercel
Waabi,,,https://jobs.lever.co/waabi,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",lever,waabi
Walmart Global Tech,,,https://walmart.wd504.myworkdayjobs.com/WalmartExternal,,,,,,Verified live via Claude-in-Chrome recheck (round 2),workday,walmart.wd504.myworkdayjobs.com/WalmartExternal
Wayve,,,https://boards.greenhouse.io/wayve,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,wayve
Weaviate,,,https://jobs.ashbyhq.com/weaviate,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,weaviate
Weights & Biases,,,,,,,,,"Bad identifier removed 2026-08-05: previous entry pointed at greenhouse/coreweave (CoreWeave's board, not W&B's) - mislabeled jobs. wandb/weightsandbiases/weights-and-biases don't resolve on greenhouse/lever/ashby; needs manual lookup.",,
Wiz,,,https://boards.greenhouse.io/wizinc,,,,,,Verified live via resolve_new_companies.py,greenhouse,wizinc
Writer,,,https://jobs.ashbyhq.com/writer,,,,,,Verified live via resolve_new_companies.py,ashby,writer
Zapier,,,https://jobs.ashbyhq.com/zapier,,,,,,Verified live via resolve_new_companies.py,ashby,zapier
ZenRows,,,https://boards.greenhouse.io/zenrows,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,zenrows
Zensors,,,https://jobs.ashbyhq.com/zensors,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,zensors
Zeta,,,https://jobs.lever.co/zeta,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),lever,zeta
Zipline,,,https://boards.greenhouse.io/flyzipline,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),greenhouse,flyzipline
Zomato,,,https://careers.smartrecruiters.com/Zomato1,,,,,,Verified live via Claude-in-Chrome browser check (group 6),smartrecruiters,Zomato1
Zoom,,,https://zoom.wd5.myworkdayjobs.com/Zoom,,,,,,Verified live via Claude-in-Chrome browser check (group 6),workday,zoom.wd5.myworkdayjobs.com/Zoom
n8n,,,https://jobs.ashbyhq.com/n8n,,,,,,Verified live via resolve_new_companies.py --retry-unresolved --brute-force (re-verified after collision review),ashby,n8n
xAI,,,https://boards.greenhouse.io/xai,,,,,,Verified live via resolve_new_companies.py,greenhouse,xai
